freq,word,a1,a2,a3,a4,b1,b2,b3,b4,p1,p2,p3,p4,q1,q2,q3,q4
49,頭尾,w.6,jo3,,,,,,,ㄊㄡˊ,ㄨㄟˇ,,,,,,
50,始末,g3,ai4,,,,,,,ㄕˇ,ㄇㄛˋ,,,,,,
51,成敗,t/6,194,,,,,,,ㄔㄥˊ,ㄅㄞˋ,,,,,,
52,虛實,vm,g6,,,,,,,ㄒㄩ,ㄕˊ,,,,,,
53,得失,2k6,g,,,,,,,ㄉㄜˊ,ㄕ,,,,,,
54,推拉,wjo,x8,,,,,,,ㄊㄨㄟ,ㄌㄚ,,,,,,
55,美醜,ao3,t.3,,,,,,,ㄇㄟˇ,ㄔㄡˇ,,,,,,
56,身體,gp,wu3,,,,,,,ㄕㄣ,ㄊㄧˇ,,,,,,
57,頭髮,w.6,z83,,,,,,,ㄊㄡˊ,ㄈㄚˇ,,,,,,
58,額頭,k6,w.6,,,,,,,ㄜˊ,ㄊㄡˊ,,,,,,
59,眉毛,ao6,al6,,,,,,,ㄇㄟˊ,ㄇㄠˊ,,,,,,
60,眼睛,u03,ru/,,,,,,,ㄧㄢˇ,ㄐㄧㄥ,,,,,,
61,眼白,u03,196,,,,,,,ㄧㄢˇ,ㄅㄞˊ,,,,,,
62,瞳孔,wj/6,dj/3,,,,,,,ㄊㄨㄥˊ,ㄎㄨㄥˇ,,,,,,
63,視力,g4,xu4,,,,,,,ㄕˋ,ㄌㄧˋ,,,,,,
64,睫毛,"ru,6",al6,,,,,,,ㄐㄧㄝˊ,ㄇㄠˊ,,,,,,
65,鼻子,1u6,y7,,,,,,,ㄅㄧˊ,ㄗ˙,,,,,,
66,嘴巴,yjo3,187,,,yjo3,18,,,ㄗㄨㄟˇ,ㄅㄚ˙,,,ㄗㄨㄟˇ,ㄅㄚ,,
67,牙齒,u86,t3,,,,,,,ㄧㄚˊ,ㄔˇ,,,,,,
68,蛀牙,5j4,u86,,,,,,,ㄓㄨˋ,ㄧㄚˊ,,,,,,
69,舌頭,gk6,w.7,,,gk6,w.6,,,ㄕㄜˊ,ㄊㄡ˙,,,ㄕㄜˊ,ㄊㄡˊ,,
70,鬍鬚,cj6,vm,,,,,,,ㄏㄨˊ,ㄒㄩ,,,,,,
71,脖子,1i6,y7,,,,,,,ㄅㄛˊ,ㄗ˙,,,,,,
72,耳朵,-3,2ji3,,,-3,2ji7,,,ㄦˇ,ㄉㄨㄛˇ,,,ㄦˇ,ㄉㄨㄛ˙,,
73,耳垂,-3,tjo6,,,,,,,ㄦˇ,ㄔㄨㄟˊ,,,,,,
74,臉頰,xu03,ru86,,,,,,,ㄌㄧㄢˇ,ㄐㄧㄚˊ,,,,,,
75,酒窩,ru.3,ji,,,,,,,ㄐㄧㄡˇ,ㄨㄛ,,,,,,
76,瀏海,xu.6,c93,,,,,,,ㄌㄧㄡˊ,ㄏㄞˇ,,,,,,
77,鬢角,1up4,rul3,,,,,,,ㄅㄧㄣˋ,ㄐㄧㄠˇ,,,,,,
78,喉嚨,c.6,xj/6,,,,,,,ㄏㄡˊ,ㄌㄨㄥˊ,,,,,,
79,胸部,vm/,1j4,,,,,,,ㄒㄩㄥ,ㄅㄨˋ,,,,,,
80,肚子,2j4,y7,,,,,,,ㄉㄨˋ,ㄗ˙,,,,,,
81,臀部,wjp6,1j4,,,,,,,ㄊㄨㄣˊ,ㄅㄨˋ,,,,,,
82,屁股,qu4,ej3,,,,,,,ㄆㄧˋ,ㄍㄨˇ,,,,,,
83,生殖器,g/,56,fu4,,,,,,ㄕㄥ,ㄓˊ,ㄑㄧˋ,,,,,
84,肩膀,ru0,1;3,,,,,,,ㄐㄧㄢ,ㄅㄤˇ,,,,,,
85,手臂,g.3,1u4,,,g.3,1o4,,,ㄕㄡˇ,ㄅㄧˋ,,,ㄕㄡˇ,ㄅㄟˋ,,
86,手肘,g.3,5.3,,,,,,,ㄕㄡˇ,ㄓㄡˇ,,,,,,
87,手腕,g.3,j04,,,,,,,ㄕㄡˇ,ㄨㄢˋ,,,,,,
88,手掌,g.3,5;3,,,,,,,ㄕㄡˇ,ㄓㄤˇ,,,,,,
89,手指,g.3,53,,,,,,,ㄕㄡˇ,ㄓˇ,,,,,,
90,指節,53,"ru,6",,,,,,,ㄓˇ,ㄐㄧㄝˊ,,,,,,
91,指甲,53,ru83,,,,,,,ㄓˇ,ㄐㄧㄚˇ,,,,,,
92,姆指,aj3,53,,,,,,,ㄇㄨˇ,ㄓˇ,,,,,,
93,食指,g6,53,,,,,,,ㄕˊ,ㄓˇ,,,,,,
94,中指,5j/,53,,,,,,,ㄓㄨㄥ,ㄓˇ,,,,,,
95,無名指,j6,au/6,53,,,,,,ㄨˊ,ㄇㄧㄥˊ,ㄓˇ,,,,,
96,小指,vul3,53,,,,,,,ㄒㄧㄠˇ,ㄓˇ,,,,,,
97,大腿,284,wjo3,,,,,,,ㄉㄚˋ,ㄊㄨㄟˇ,,,,,,
98,膝蓋,vu,e94,,,,,,,ㄒㄧ,ㄍㄞˋ,,,,,,
99,小腿,vul3,wjo3,,,,,,,ㄒㄧㄠˇ,ㄊㄨㄟˇ,,,,,,
100,腳踝,rul3,cj96,,,rul3,cj84,,,ㄐㄧㄠˇ,ㄏㄨㄞˊ,,,ㄐㄧㄠˇ,ㄏㄨㄚˋ,,
101,腳跟,rul3,ep,,,,,,,ㄐㄧㄠˇ,ㄍㄣ,,,,,,
102,心肺,vup,zo4,,,,,,,ㄒㄧㄣ,ㄈㄟˋ,,,,,,
103,腸胃,t;6,jo4,,,,,,,ㄔㄤˊ,ㄨㄟˋ,,,,,,
104,肝膽相照,e0,203,vu;,5l4,,,,,ㄍㄢ,ㄉㄢˇ,ㄒㄧㄤ,ㄓㄠˋ,,,,
105,腎臟,gp4,y;4,,,,,,,ㄕㄣˋ,ㄗㄤˋ,,,,,,
106,膀胱,q;6,ej;,,,,,,,ㄆㄤˊ,ㄍㄨㄤ,,,,,,
107,肛門,e;,ap6,,,,,,,ㄍㄤ,ㄇㄣˊ,,,,,,
108,放屁,z;4,qu4,,,,,,,ㄈㄤˋ,ㄆㄧˋ,,,,,,
109,大便,284,1u04,,,,,,,ㄉㄚˋ,ㄅㄧㄢˋ,,,,,,
110,尿尿,sul4,sul4,,,,,,,ㄋㄧㄠˋ,ㄋㄧㄠˋ,,,,,,
111,肚子餓,2j4,y7,k4,,,,,,ㄉㄨˋ,ㄗ˙,ㄜˋ,,,,,
112,吃東西,t,2j/,vu,,,,,,ㄔ,ㄉㄨㄥ,ㄒㄧ,,,,,
113,八分飽,18,zp,1l3,,,,,,ㄅㄚ,ㄈㄣ,ㄅㄠˇ,,,,,
114,消化,vul,cj84,,,,,,,ㄒㄧㄠ,ㄏㄨㄚˋ,,,,,,
115,血管,"vu,3",ej03,,,"vm,4",ej03,,,ㄒㄧㄝˇ,ㄍㄨㄢˇ,,,ㄒㄩㄝˋ,ㄍㄨㄢˇ,,
116,動脈,2j/4,a94,,,,,,,ㄉㄨㄥˋ,ㄇㄞˋ,,,,,,
117,靜脈,ru/4,a94,,,,,,,ㄐㄧㄥˋ,ㄇㄞˋ,,,,,,
118,受傷,g.4,g;,,,,,,,ㄕㄡˋ,ㄕㄤ,,,,,,
119,流血,xu.6,"vu,3",,,xu.6,"vm,4",,,ㄌㄧㄡˊ,ㄒㄧㄝˇ,,,ㄌㄧㄡˊ,ㄒㄩㄝˋ,,
120,傷口,g;,d.3,,,,,,,ㄕㄤ,ㄎㄡˇ,,,,,,
121,疼痛,w/6,wj/4,,,,,,,ㄊㄥˊ,ㄊㄨㄥˋ,,,,,,
122,不舒服,1j4,gj,zj6,,,,,,ㄅㄨˋ,ㄕㄨ,ㄈㄨˊ,,,,,
123,肌肉,ru,b.4,,,,,,,ㄐㄧ,ㄖㄡˋ,,,,,,
124,皮膚,qu6,zj,,,,,,,ㄆㄧˊ,ㄈㄨ,,,,,,
125,脂肪,5,z;6,,,,,,,ㄓ,ㄈㄤˊ,,,,,,
126,高矮胖瘦,el,93,q;4,g.4,,,,,ㄍㄠ,ㄞˇ,ㄆㄤˋ,ㄕㄡˋ,,,,
127,生病,g/,1u/4,,,,,,,ㄕㄥ,ㄅㄧㄥˋ,,,,,,
128,細菌,vu4,rmp4,,,,,,,ㄒㄧˋ,ㄐㄩㄣˋ,,,,,,
129,病毒,1u/4,2j6,,,,,,,ㄅㄧㄥˋ,ㄉㄨˊ,,,,,,
130,藥物,ul4,j4,,,,,,,ㄧㄠˋ,ㄨˋ,,,,,,
131,疫苗,u4,aul6,,,,,,,ㄧˋ,ㄇㄧㄠˊ,,,,,,
132,康復,d;,zj4,,,,,,,ㄎㄤ,ㄈㄨˋ,,,,,,
133,精神,ru/,gp6,,,,,,,ㄐㄧㄥ,ㄕㄣˊ,,,,,,
134,心理,vup,xu3,,,,,,,ㄒㄧㄣ,ㄌㄧˇ,,,,,,
135,快樂,dj94,xk4,,,,,,,ㄎㄨㄞˋ,ㄌㄜˋ,,,,,,
136,愉快,m6,dj94,,,,,,,ㄩˊ,ㄎㄨㄞˋ,,,,,,
137,開心,d9,vup,,,,,,,ㄎㄞ,ㄒㄧㄣ,,,,,,
138,傷心,g;,vup,,,,,,,ㄕㄤ,ㄒㄧㄣ,,,,,,
139,憂愁,u.,t.6,,,,,,,ㄧㄡ,ㄔㄡˊ,,,,,,
140,煩悶,z06,ap4,,,,,,,ㄈㄢˊ,ㄇㄣˋ,,,,,,
141,苦惱,dj3,sl3,,,,,,,ㄎㄨˇ,ㄋㄠˇ,,,,,,
142,堅強,ru0,fu;6,,,,,,,ㄐㄧㄢ,ㄑㄧㄤˊ,,,,,,
143,軟弱,bj03,bji4,,,,,,,ㄖㄨㄢˇ,ㄖㄨㄛˋ,,,,,,
144,勇氣,m/3,fu4,,,,,,,ㄩㄥˇ,ㄑㄧˋ,,,,,,
145,自卑,y4,1o,,,,,,,ㄗˋ,ㄅㄟ,,,,,,
146,同情,wj/6,fu/6,,,,,,,ㄊㄨㄥˊ,ㄑㄧㄥˊ,,,,,,
147,關心,ej0,vup,,,,,,,ㄍㄨㄢ,ㄒㄧㄣ,,,,,,
148,幫助,1;,5j4,,,,,,,ㄅㄤ,ㄓㄨˋ,,,,,,
149,喜愛,vu3,94,,,,,,,ㄒㄧˇ,ㄞˋ,,,,,,
150,憤怒,zp4,sj4,,,,,,,ㄈㄣˋ,ㄋㄨˋ,,,,,,
151,積極,ru,ru6,,,,,,,ㄐㄧ,ㄐㄧˊ,,,,,,
152,消極,vul,ru6,,,,,,,ㄒㄧㄠ,ㄐㄧˊ,,,,,,
153,冷靜,x/3,ru/4,,,,,,,ㄌㄥˇ,ㄐㄧㄥˋ,,,,,,
154,熱情,bk4,fu/6,,,,,,,ㄖㄜˋ,ㄑㄧㄥˊ,,,,,,
155,活潑,cji6,qi,,,,,,,ㄏㄨㄛˊ,ㄆㄛ,,,,,,
156,內向,so4,vu;4,,,,,,,ㄋㄟˋ,ㄒㄧㄤˋ,,,,,,
157,外向,j94,vu;4,,,,,,,ㄨㄞˋ,ㄒㄧㄤˋ,,,,,,
158,自信,y4,vup4,,,,,,,ㄗˋ,ㄒㄧㄣˋ,,,,,,
159,自誇,y4,dj8,,,,,,,ㄗˋ,ㄎㄨㄚ,,,,,,
160,膽小,203,vul3,,,,,,,ㄉㄢˇ,ㄒㄧㄠˇ,,,,,,
161,退縮,wjo4,nji,,,,,,,ㄊㄨㄟˋ,ㄙㄨㄛ,,,,,,
162,多愁善感,2ji,t.6,g04,e03,,,,,ㄉㄨㄛ,ㄔㄡˊ,ㄕㄢˋ,ㄍㄢˇ,,,,
163,大而化之,284,-6,cj84,5,,,,,ㄉㄚˋ,ㄦˊ,ㄏㄨㄚˋ,ㄓ,,,,
164,溫和,jp,ck6,,,,,,,ㄨㄣ,ㄏㄜˊ,,,,,,
165,激動,ru,2j/4,,,,,,,ㄐㄧ,ㄉㄨㄥˋ,,,,,,
166,敏捷,aup3,"ru,6",,,,,,,ㄇㄧㄣˇ,ㄐㄧㄝˊ,,,,,,
167,緩慢,cj03,a04,,,,,,,ㄏㄨㄢˇ,ㄇㄢˋ,,,,,,
168,好奇,cl4,fu6,,,,,,,ㄏㄠˋ,ㄑㄧˊ,,,,,,
169,穩重,jp3,5j/4,,,,,,,ㄨㄣˇ,ㄓㄨㄥˋ,,,,,,
170,不安,1j4,0,,,,,,,ㄅㄨˋ,ㄢ,,,,,,
171,害怕,c94,q84,,,,,,,ㄏㄞˋ,ㄆㄚˋ,,,,,,
172,緊張,rup3,5;,,,,,,,ㄐㄧㄣˇ,ㄓㄤ,,,,,,
173,恐怖,dj/3,1j4,,,,,,,ㄎㄨㄥˇ,ㄅㄨˋ,,,,,,
174,恐懼,dj/3,rm4,,,,,,,ㄎㄨㄥˇ,ㄐㄩˋ,,,,,,
175,嫉妒,ru6,2j4,,,,,,,ㄐㄧˊ,ㄉㄨˋ,,,,,,
176,寬容,dj0,bj/6,,,,,,,ㄎㄨㄢ,ㄖㄨㄥˊ,,,,,,
177,忍耐,bp3,s94,,,,,,,ㄖㄣˇ,ㄋㄞˋ,,,,,,
178,正直,5/4,56,,,,,,,ㄓㄥˋ,ㄓˊ,,,,,,
179,正常,5/4,t;6,,,,,,,ㄓㄥˋ,ㄔㄤˊ,,,,,,
180,怪異,ej94,u4,,,,,,,ㄍㄨㄞˋ,ㄧˋ,,,,,,
181,奇怪,fu6,ej94,,,,,,,ㄑㄧˊ,ㄍㄨㄞˋ,,,,,,
182,聰明,hj/,au/6,,,,,,,ㄘㄨㄥ,ㄇㄧㄥˊ,,,,,,
183,愚笨,m6,1p4,,,,,,,ㄩˊ,ㄅㄣˋ,,,,,,
184,大智若愚,284,54,bji4,m6,,,,,ㄉㄚˋ,ㄓˋ,ㄖㄨㄛˋ,ㄩˊ,,,,
185,靈巧,xu/6,ful3,,,,,,,ㄌㄧㄥˊ,ㄑㄧㄠˇ,,,,,,
186,平凡,qu/6,z06,,,,,,,ㄆㄧㄥˊ,ㄈㄢˊ,,,,,,
187,急性子,ru6,vu/4,y7,,,,,,ㄐㄧˊ,ㄒㄧㄥˋ,ㄗ˙,,,,,
188,拖延,wji,u06,,,,,,,ㄊㄨㄛ,ㄧㄢˊ,,,,,,
189,習慣,vu6,ej04,,,,,,,ㄒㄧˊ,ㄍㄨㄢˋ,,,,,,
190,先天,vu0,wu0,,,,,,,ㄒㄧㄢ,ㄊㄧㄢ,,,,,,
191,後天,c.4,wu0,,,,,,,ㄏㄡˋ,ㄊㄧㄢ,,,,,,
192,態度,w94,2j4,,,,,,,ㄊㄞˋ,ㄉㄨˋ,,,,,,
193,瞧不起,ful6,1j4,fu3,,,,,,ㄑㄧㄠˊ,ㄅㄨˋ,ㄑㄧˇ,,,,,
194,崇拜,tj/6,194,,,,,,,ㄔㄨㄥˊ,ㄅㄞˋ,,,,,,
195,親密,fup,au4,,,,,,,ㄑㄧㄣ,ㄇㄧˋ,,,,,,
196,熟悉,g.6,vu,,,gj6,vu,,,ㄕㄡˊ,ㄒㄧ,,,ㄕㄨˊ,ㄒㄧ,,
197,不屑,1j4,"vu,4",,,,,,,ㄅㄨˋ,ㄒㄧㄝˋ,,,,,,
198,貼心,"wu,",vup,,,,,,,ㄊㄧㄝ,ㄒㄧㄣ,,,,,,
199,思考,n,dl3,,,,,,,ㄙ,ㄎㄠˇ,,,,,,
200,行為,vu/6,jo6,,,,,,,ㄒㄧㄥˊ,ㄨㄟˊ,,,,,,
201,散步,n04,1j4,,,,,,,ㄙㄢˋ,ㄅㄨˋ,,,,,,
202,奔跑,1p,ql3,,,,,,,ㄅㄣ,ㄆㄠˇ,,,,,,
203,插腰,t8,ul,,,,,,,ㄔㄚ,ㄧㄠ,,,,,,
204,排隊,q96,2jo4,,,,,,,ㄆㄞˊ,ㄉㄨㄟˋ,,,,,,
205,看齊,d04,fu6,,,,,,,ㄎㄢˋ,ㄑㄧˊ,,,,,,
206,指定,53,2u/4,,,,,,,ㄓˇ,ㄉㄧㄥˋ,,,,,,
207,懷疑,cj96,u6,,,,,,,ㄏㄨㄞˊ,ㄧˊ,,,,,,
208,迷惑,au6,cji4,,,,,,,ㄇㄧˊ,ㄏㄨㄛˋ,,,,,,
209,暈頭轉向,mp,w.6,5j04,vu;4,,,,,ㄩㄣ,ㄊㄡˊ,ㄓㄨㄢˋ,ㄒㄧㄤˋ,,,,
210,確認,"fm,4",bp4,,,,,,,ㄑㄩㄝˋ,ㄖㄣˋ,,,,,,
211,取消,fm3,vul,,,,,,,ㄑㄩˇ,ㄒㄧㄠ,,,,,,
212,贊成,y04,t/6,,,,,,,ㄗㄢˋ,ㄔㄥˊ,,,,,,
213,支持,5,t6,,,,,,,ㄓ,ㄔˊ,,,,,,
214,反對,z03,2jo4,,,,,,,ㄈㄢˇ,ㄉㄨㄟˋ,,,,,,
215,同意,wj/6,u4,,,,,,,ㄊㄨㄥˊ,ㄧˋ,,,,,,
216,否定,z.3,2u/4,,,,,,,ㄈㄡˇ,ㄉㄧㄥˋ,,,,,,
217,搖頭,ul6,w.6,,,,,,,ㄧㄠˊ,ㄊㄡˊ,,,,,,
218,點頭,2u03,w.6,,,,,,,ㄉㄧㄢˇ,ㄊㄡˊ,,,,,,
219,微笑,jo6,vul4,,,,,,,ㄨㄟˊ,ㄒㄧㄠˋ,,,,,,
220,傻笑,g83,vul4,,,,,,,ㄕㄚˇ,ㄒㄧㄠˋ,,,,,,
221,大笑,284,vul4,,,,,,,ㄉㄚˋ,ㄒㄧㄠˋ,,,,,,
222,奸笑,ru0,vul4,,,,,,,ㄐㄧㄢ,ㄒㄧㄠˋ,,,,,,
223,欺騙,fu,qu04,,,,,,,ㄑㄧ,ㄆㄧㄢˋ,,,,,,
224,作弊,yji4,1u4,,,,,,,ㄗㄨㄛˋ,ㄅㄧˋ,,,,,,
225,告狀,el4,5j;4,,,,,,,ㄍㄠˋ,ㄓㄨㄤˋ,,,,,,
226,責罵,yk6,a84,,,,,,,ㄗㄜˊ,ㄇㄚˋ,,,,,,
227,拜託,194,wji,,,,,,,ㄅㄞˋ,ㄊㄨㄛ,,,,,,
228,認錯,bp4,hji4,,,,,,,ㄖㄣˋ,ㄘㄨㄛˋ,,,,,,
229,下跪,vu84,ejo4,,,,,,,ㄒㄧㄚˋ,ㄍㄨㄟˋ,,,,,,
230,盤腿,q06,wjo3,,,,,,,ㄆㄢˊ,ㄊㄨㄟˇ,,,,,,
231,半蹲,104,2jp,,,,,,,ㄅㄢˋ,ㄉㄨㄣ,,,,,,
232,生氣,g/,fu4,,,,,,,ㄕㄥ,ㄑㄧˋ,,,,,,
233,原諒,m06,xu;4,,,,,,,ㄩㄢˊ,ㄌㄧㄤˋ,,,,,,
234,假裝,ru83,5j;,,,,,,,ㄐㄧㄚˇ,ㄓㄨㄤ,,,,,,
235,其實,fu6,g6,,,,,,,ㄑㄧˊ,ㄕˊ,,,,,,
236,結果,"ru,6",eji3,,,,,,,ㄐㄧㄝˊ,ㄍㄨㄛˇ,,,,,,
237,輕微,fu/,jo6,,,,,,,ㄑㄧㄥ,ㄨㄟˊ,,,,,,
238,重大,5j/4,284,,,,,,,ㄓㄨㄥˋ,ㄉㄚˋ,,,,,,
239,開門,d9,ap6,,,,,,,ㄎㄞ,ㄇㄣˊ,,,,,,
240,關門,ej0,ap6,,,,,,,ㄍㄨㄢ,ㄇㄣˊ,,,,,,
241,甩掉,gj93,2ul4,,,,,,,ㄕㄨㄞˇ,ㄉㄧㄠˋ,,,,,,
242,接住,"ru,",5j4,,,,,,,ㄐㄧㄝ,ㄓㄨˋ,,,,,,
243,揉捏,b.6,"su,",,,,,,,ㄖㄡˊ,ㄋㄧㄝ,,,,,,
244,按住,04,5j4,,,,,,,ㄢˋ,ㄓㄨˋ,,,,,,
245,放開,z;4,d9,,,,,,,ㄈㄤˋ,ㄎㄞ,,,,,,
246,綁緊,1;3,rup3,,,,,,,ㄅㄤˇ,ㄐㄧㄣˇ,,,,,,
247,解開,"ru,3",d9,,,,,,,ㄐㄧㄝˇ,ㄎㄞ,,,,,,
248,吹走,tjo,y.3,,,,,,,ㄔㄨㄟ,ㄗㄡˇ,,,,,,
249,深呼吸,gp,cj,vu,,,,,,ㄕㄣ,ㄏㄨ,ㄒㄧ,,,,,
250,吐氣,wj3,fu4,,,,,,,ㄊㄨˇ,ㄑㄧˋ,,,,,,
251,憋氣,"1u,",fu4,,,,,,,ㄅㄧㄝ,ㄑㄧˋ,,,,,,
252,鼻塞,1u6,nk4,,,1u6,n9,,,ㄅㄧˊ,ㄙㄜˋ,,,ㄅㄧˊ,ㄙㄞ,,
253,臉紅,xu03,cj/6,,,,,,,ㄌㄧㄢˇ,ㄏㄨㄥˊ,,,,,,
254,咬牙切齒,ul3,u86,"fu,4",t3,,,,,ㄧㄠˇ,ㄧㄚˊ,ㄑㄧㄝˋ,ㄔˇ,,,,
255,火冒三丈,cji3,al4,n0,5;4,,,,,ㄏㄨㄛˇ,ㄇㄠˋ,ㄙㄢ,ㄓㄤˋ,,,,
256,進來,rup4,x96,,,,,,,ㄐㄧㄣˋ,ㄌㄞˊ,,,,,,
257,出去,tj,fm4,,,,,,,ㄔㄨ,ㄑㄩˋ,,,,,,
258,蒙面,a/6,au04,,,,,,,ㄇㄥˊ,ㄇㄧㄢˋ,,,,,,
259,立正,xu4,5/4,,,,,,,ㄌㄧˋ,ㄓㄥˋ,,,,,,
260,坐下,yji4,vu84,,,,,,,ㄗㄨㄛˋ,ㄒㄧㄚˋ,,,,,,
261,站直,504,56,,,,,,,ㄓㄢˋ,ㄓˊ,,,,,,
262,彎腰駝背,j0,ul,wji6,1o4,,,,,ㄨㄢ,ㄧㄠ,ㄊㄨㄛˊ,ㄅㄟˋ,,,,
263,昏倒,cjp,2l3,,,,,,,ㄏㄨㄣ,ㄉㄠˇ,,,,,,
264,呼叫,cj,rul4,,,,,,,ㄏㄨ,ㄐㄧㄠˋ,,,,,,
265,驚訝,ru/,u84,,,,,,,ㄐㄧㄥ,ㄧㄚˋ,,,,,,
266,合作,ck6,yji42,,,,,,,ㄏㄜˊ,ㄗㄨㄛˋ,,,,,,
267,一起,u4,fu3,,,,,,,ㄧˋ,ㄑㄧˇ,,,,,,
268,團結,wj06,"ru,6",,,,,,,ㄊㄨㄢˊ,ㄐㄧㄝˊ,,,,,,
269,信任,vup4,bp4,,,,,,,ㄒㄧㄣˋ,ㄖㄣˋ,,,,,,
270,認同,bp4,wj/6,,,,,,,ㄖㄣˋ,ㄊㄨㄥˊ,,,,,,
271,可靠,dk3,dl4,,,,,,,ㄎㄜˇ,ㄎㄠˋ,,,,,,
272,抓到,5j8,2l4,,,,,,,ㄓㄨㄚ,ㄉㄠˋ,,,,,,
273,搶奪,fu;3,2ji6,,,,,,,ㄑㄧㄤˇ,ㄉㄨㄛˊ,,,,,,
274,偷竊,w.,"fu,4",,,,,,,ㄊㄡ,ㄑㄧㄝˋ,,,,,,
275,小心,vul3,vup,,,,,,,ㄒㄧㄠˇ,ㄒㄧㄣ,,,,,,
